Modo de trabalho,Tecnologias,Descrição,Localização,Data de publicação,Empresa,Tipo de contrato,Link,Categoria,Título,Seniority
Presencial,"Machine Learning, PHP, TypeScript","A Integer Consulting é uma empresa portuguesa de consultoria em tecnologias de informação. Somos especialistas em serviços de IT outsourcing, software, projetos de nearshore e desenvolvimento à medida. Somos parceiros dos principais players tecnológicos a nível mundial e trabalhamos com empresas nacionais e multinacionais de diversos setores de atividade. A maioria dos projetos em que participamos são em Portugal, no Brasil e um pouco por toda a Europa. O que nos diferencia é o talento tecnológico e a experiência das pessoas que fazem parte da equipa e que integram os nossos projetos. Estás à procura de novas oportunidades na área de IT? Temos novidades para ti! Este pode ser o desafio perfeito, se tiveres: - +4 anos de experiência sólida em PHP (obrigatório); - Conhecimentos em HTML5, CSS...",Lisboa,19 de Outubro de 2025,Integer Consulting,Full-time,https://www.itjobs.pt/oferta/505839/php-developer-regime-hibrido,Frontend,PHP Developer | Regime híbrido,Senior
Remoto,"Git, Python, TypeScript","Who are we: Neotalent Conclusion is one of the leading Iberian specialists providing services in Information Technology and Engineering services. As part of the Netherlands-based organization Conclusion, which has an ecosystem of over 25 companies and 3,600 employees, we are focused on increasing the technological capacity of our clients and the digital transformation of their application ecosystems. We are talent specialists, attracting the best people and combining them with the needs of the most ambitious projects, at the right time. Our success comes from our investments in innovation, our focus on results, and, above all, the guarantee that our people will have happy and rewarding careers. With over 25 years of solid experience, Neotalent Conclusion has established its presence in key...",Lisboa,19 de Outubro de 2025,Neotalent Conclusion,Contrato sem termo,https://www.itjobs.pt/oferta/505862/junior-project-manager,Product Management,Junior Project Manager,Manager
Presencial,TypeScript,"Seeking a PLM and CAD/CAM Systems Engineer: Rhino, are you there? At WE ARE META, we focus on finding the perfect match between our Rhinos and our clients. Why join us? Expand your network: As a consultant at We Are META, you’ll have access to a network of national and international partners across diverse sectors of the tech industry. Enjoy our perks: When you join the crash you’ll have an array of benefits , to help you achieve the best work-life balance. Get your perfect match: Our recruiters do their best to get the best position for you, whether in terms of working policy (remote, hybrid, on-site) or the company’s culture . Personalized support: With our career coach , we assure that all your needs are being met and you’re being provided everything you need to excel in your profession...",Lisboa,19 de Outubro de 2025,We Are Meta,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/504857/plm-and-cad-cam-systems-engineer,Infrastructure,PLM and CAD/CAM Systems Engineer,C-Level
Presencial,".NET, Power Platform, TypeScript","Seeking a Power Platform & .NET Developer: Rhino, are you there? At WE ARE META, we focus on finding the perfect match between our Rhinos and our clients. Why join us? Expand your network: As a consultant at We Are META, you’ll have access to a network of national and international partners across diverse sectors of the tech industry. Enjoy our perks: When you join the crash you’ll have an array of benefits , to help you achieve the best work-life balance. Get your perfect match: Our recruiters do their best to get the best position for you, whether in terms of working policy (remote, hybrid, on-site) or the company’s culture . Personalized support: With our career coach , we assure that all your needs are being met and you’re being provided everything you need to excel in your professiona...",Porto,19 de Outubro de 2025,We Are Meta,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/504856/power-platform-net-developer,Infrastructure,Power Platform & .NET Developer,C-Level
Presencial,N/A,"A Dellent é uma empresa de consultoria especializada em Sistemas de Informação e Telecomunicações. O nosso objetivo é ajudar os nossos consultores e candidatos a integrarem projetos que vão ao encontro dos seus interesses, motivações e expectativas. Connosco irás contactar diretamente com um projeto da área da banca portuguesa de referência, com um grande posicionamento na área de empresas e retalho. Aqui poderás fazer parte de uma equipa dinâmica, diversa, transparente e com uma abordagem focada no cliente. Procuramos Analista Funcional Senior para este projeto na área da banca , em Oeiras . Requisitos: - Licenciatura (preferencialmente em área de Informática); - Contacto com a Banca em particular na área de crédito; - Experiência de pelo menos 5 anos em Análise Funcional; - Soluções IBM ...",Lisboa,19 de Outubro de 2025,Dellent,Full-time,https://www.itjobs.pt/oferta/504928/analista-funcional-senior-banca,Technical Management,Analista Funcional Senior (banca),C-Level
Presencial,N/A,"A Dellent é uma empresa de consultoria especializada em Sistemas de Informação e Telecomunicações. O nosso objetivo é ajudar os nossos consultores e candidatos a integrarem projetos que vão ao encontro dos seus interesses, motivações e expectativas. Connosco irás contactar diretamente com um projeto da área da banca portuguesa de referência, com um grande posicionamento na área de empresas e retalho. Aqui poderás fazer parte de uma equipa dinâmica, diversa, transparente e com uma abordagem focada no cliente. Procuramos Consultor IBM BPM/BAW para este projeto na área da banca , em Oeiras . Requisitos: - Licenciatura em Engenharia de Computação ou similar; - Conhecimento de arquitetura de aplicações e desenho de soluções; - Capacidade de análise e troubleshoot para identificação de causas de...",Lisboa,19 de Outubro de 2025,Dellent,Full-time,https://www.itjobs.pt/oferta/504927/consultor-ibm-bpm-baw,UX/UI Design,Consultor IBM BPM/BAW,N/A
Remoto,"API REST, Git, Machine Learning","Quem somos: A Neotalent Conclusion é uma das principais empresas especialistas ibéricas na prestação de serviços em Tecnologias de Informação e Engenharia. Faz parte do Grupo Conclusion , sediada nos Países Baixos, que possui um ecossistema de mais de 25 empresas e 3.600 colaboradores. Estamos focados em aumentar a capacidade tecnológica dos nossos clientes e na transformação digital dos seus ecossistemas de aplicações. Somos especialistas em talento, atraindo as melhores pessoas e combinando-as com as necessidades dos projetos mais ambiciosos, no momento certo. O nosso sucesso advém dos nossos investimentos em inovação, do nosso foco nos resultados e, acima de tudo, da garantia de que as nossas pessoas terão carreiras felizes e gratificantes. Com mais de 25 anos de experiência sólida, a N...",Porto,17 de Outubro de 2025,Neotalent Conclusion,Contrato sem termo,https://www.itjobs.pt/oferta/505868/senior-manager,Mobile,Senior Manager,Manager
Presencial,"Machine Learning, PHP, TypeScript","A Integer Consulting é uma empresa portuguesa de consultoria em tecnologias de informação. Somos especialistas em serviços de IT outsourcing, software, projetos de nearshore e desenvolvimento à medida. Somos parceiros dos principais players tecnológicos a nível mundial e trabalhamos com empresas nacionais e multinacionais de diversos setores de atividade. A maioria dos projetos em que participamos são em Portugal, no Brasil e um pouco por toda a Europa. O que nos diferencia é o talento tecnológico e a experiência das pessoas que fazem parte da equipa e que integram os nossos projetos. Estás à procura de novas oportunidades na área de IT? Temos novidades para ti! Este pode ser o desafio perfeito, se tiveres: Pelo menos 4 anos de experiência sólida em desenvolvimento PHP; Bons conhecimentos ...",Lisboa,17 de Outubro de 2025,Integer Consulting,Full-time,https://www.itjobs.pt/oferta/505836/programador-php,Data Science,Programador PHP,Senior
Remoto,"API REST, Java, Kubernetes, Microservices, TypeScript","Key Responsibilities Collaborate closely with architects and systems analysts to fully understand software requirements and contribute to solution design. Design and implement new features and enhancements, primarily for integration-related projects. Develop web services (REST/SOAP) within a Java-based microservices architecture. Effectively organize, plan, and prioritize tasks to ensure timely delivery. Contribute to the technical growth and mentorship of junior team members (applicable to mid/senior roles only). Key Technologies: Quarkus and Kubernetes (the future of the technology stack). Currently using JBoss Fuse, OSGi, and Karaf. Quarkus/Kubernetes experience is a plus, but not mandatory. English is required. Academic Requirements: A Bachelor's degree is preferred but may be replaced...",Lisboa,17 de Outubro de 2025,Growmate,Contrato a termo,https://www.itjobs.pt/oferta/506019/software-developer-integration,Backend,Software Developer - Integration,Lead
Presencial,"Data Science, Machine Learning, TypeScript","We are looking for a Data Engineer to join the team of our client - a reference company in the retail sector who is creating a new IT Hub in Portugal. What will be your main tasks and responsibilities? Manage and deliver data products, pipelines, and automation to meet business needs; Collaborate on data modelling, integration design, and governance activities; Ensure compliance, availability, and quality of data assets; Engage stakeholders and coordinate testing, validation, and documentation efforts. What is required from you? Bachelor's degree in Data Science, Computer Science, or a related field; Previous professional experience in data engineering roles; Expertise in building and maintaining high-quality data pipelines; Solid understanding of modern data stacks and cloud platforms; Ex...",Porto,17 de Outubro de 2025,QiBit Portugal,Contrato sem termo,https://www.itjobs.pt/oferta/506007/data-engineer,QA,Data Engineer,C-Level
Remoto,"Java, Rust","Software Engineer – Java Developer Code Maestro Wanted: Java Developer Opening! There's no secret to become number-one, it takes willingness to improve and determination to pursue it. At GRiT®, it’s all about the journey getting there. We trust talent and intelligence are important, yet passion and perseverance are key to achieving any goal. We are Tech Passionate People with a Purpose, delivering solutions while building strong long-term relations. Recognizing each person’s unique contribution to our collective success, we embrace inclusion and diversity, committed to creating a respectful and socially responsible environment. People. Technology. Innovation. All-around it. Are you GRiTTY enough to be part of our journey? Take the first step by applying now and let’s create our future toge...",Viseu,17 de Outubro de 2025,GRiT Solutions,Full-time,https://www.itjobs.pt/oferta/506016/software-engineer-java-developer,UX/UI Design,Software Engineer – Java Developer,N/A
Remoto,".NET, Azure, DevOps, Python","Senior Software Engineer (.NET) Javra Software is looking for a Senior Software Engineer (.NET) to join our IT department and build functional applications as well as mobile applications. You will work as part of our world class offshore team developing software applications for international customers in .NET platform Senior Software Engineer responsibilities include participating in the entire software development life cycle, debugging applications, configuring existing systems and DevOps operations. If you’re equally happy to roll up your sleeves to write code and review other team members’ work, we would like to meet you. Ultimately, you will use your expertise in the .NET and Azure DevOps to help us deploy high-quality applications. In this role, you will be working on a hybrid workin...",N/A,17 de Outubro de 2025,Javra Software,Contrato a termo,https://www.itjobs.pt/oferta/505983/software-engineer-microsoft-net,Mobile,Software Engineer (Microsoft .NET),Senior
Remoto,"Machine Learning, R, TypeScript","Com mais de 8 anos de existência a nível nacional, contamos com mais de 200 colaboradores com o nosso ADN e posicionamo-nos no mercado com 3 ofertas de serviço: Strategy (Outsourcing, Team as a Service, Tech Academies); R&D (Estágios, POC, Laboratório Tecnológico); Nearshore. Na ADENTIS centramo-nos nas PESSOAS e é este o nosso salário emocional: Equilíbrio entre a vida profissional e pessoal; Flexibilidade na rotina organizacional; Benefícios de saúde para colaboradores e familiares; Eventos Team Building; Protocolo com mais de 300 parceiros; Formação contínua através de um centro profissional de formação e certificação; Acompanhamento e feedback contínuo através de um plano personalizado; Progressão de carreira através de avaliações objetivas e diretas. IMPORTANTE: Exige-se fluência em p...",Braga,17 de Outubro de 2025,Adentis,Contrato sem termo,https://www.itjobs.pt/oferta/505986/rpa-developer,Mobile,RPA Developer,N/A
Presencial,"AWS, Angular, DevOps, Docker, JavaScript, Kubernetes, Machine Learning, Node.js, R, React, Terraform, TypeScript, Vue","We are looking for a Node.js Developer to work in Lisbon who's eager to embark on an exciting new opportunity! Apply here <endereço ocultado> About KWAN We connect IT professionals with projects that match their skills, professional experience, and goals, then we offer a career progression program, delivered by in-house specialists - our People Experience Partners - to guide them through our journey with us. What we are looking for • 6+ years of professional experience in software development; • Solid Node.js experience developing backend solutions; • Proficiency in HTML, CSS, and JavaScript/TypeScript; competency in Angular, React, or Vue.js is a plus; • Experienced with AWS, and familiar with Terraform, Docker, and Kubernetes; • Hands-on experience with DevOps culture, CI/CD tools, and r...","Lisboa, Porto",17 de Outubro de 2025,KWAN,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/505909/senior-node-js-developer,Frontend,Senior Node.js Developer,Senior
Remoto,"Git, Machine Learning, Python, TypeScript","Who are we: Neotalent Conclusion is one of the leading Iberian specialists providing services in Information Technology and Engineering services. As part of the Netherlands-based organization Conclusion, which has an ecosystem of over 25 companies and 3,600 employees, we are focused on increasing the technological capacity of our clients and the digital transformation of their application ecosystems. We are talent specialists, attracting the best people and combining them with the needs of the most ambitious projects, at the right time. Our success comes from our investments in innovation, our focus on results, and, above all, the guarantee that our people will have happy and rewarding careers. With over 25 years of solid experience, Neotalent Conclusion has established its presence in key...","Lisboa, Porto",17 de Outubro de 2025,Neotalent Conclusion,Contrato sem termo,https://www.itjobs.pt/oferta/505861/machine-learning-engineer,Data Science,Machine Learning Engineer,Senior
Presencial,"Machine Learning, TypeScript","A Integer Consulting é uma empresa portuguesa de consultoria em tecnologias de informação. Somos especialistas em serviços de IT outsourcing, software, projetos de nearshore e desenvolvimento à medida. Somos parceiros dos principais players tecnológicos a nível mundial e trabalhamos com empresas nacionais e multinacionais de diversos setores de atividade. A maioria dos projetos em que participamos são em Portugal, no Brasil e um pouco por toda a Europa. O que nos diferencia é o talento tecnológico e a experiência das pessoas que fazem parte da equipa e que integram os nossos projetos. Estás à procura de novas oportunidades na área de IT? Temos novidades para ti! Este Pode Ser o Desafio Perfeito, Se Tiveres + de 4 anos de experiência com SAP Success Factores Experiência com Time Management ...",Lisboa,17 de Outubro de 2025,Integer Consulting,Full-time,https://www.itjobs.pt/oferta/505807/sap-success-factores-consultant,Data Science,SAP Success Factores Consultant,C-Level
Presencial,"Agile, Angular, Java, Spring, TypeScript","Dellent is a consulting company focused in System Information and Telecommunications. Our goal is to help our candidates and consultants to take a step forward in their careers through projects that meet their needs and expectations. This project is part of the business investment banking and financial services area, and currently has its technological hub in Porto and is working on the development of innovative solutions and support for all operations related to the business. We are looking for a Fullstack developer (Java & Angular) to work in this project in Porto (Hybrid). Requirements: -+9 years of experience as a Full Stack Developer in an agile environment; -Bachelor's degree in Computer Science, Software Engineering, or a related field; -Experience with Spring (Boot, Batch, MVC), Ja...",Porto,17 de Outubro de 2025,Dellent,Full-time,https://www.itjobs.pt/oferta/504926/fullstack-developer-java-angular,Frontend,Fullstack developer (Java & Angular),N/A
Presencial,TypeScript,"Seeking a SAP Basis Consultant: Rhino, are you there? At WE ARE META, we focus on finding the perfect match between our Rhinos and our clients. Why join us? Expand your network: As a consultant at We Are META, you’ll have access to a network of national and international partners across diverse sectors of the tech industry. Enjoy our perks: When you join the crash you’ll have an array of benefits , to help you achieve the best work-life balance. Get your perfect match: Our recruiters do their best to get the best position for you, whether in terms of working policy (remote, hybrid, on-site) or the company’s culture . Personalized support: With our career coach , we assure that all your needs are being met and you’re being provided everything you need to excel in your professional life beca...","Lisboa, Coimbra, Braga",17 de Outubro de 2025,We Are Meta,"Contrato a termo, Contrato sem termo, Prestação de Serviços",https://www.itjobs.pt/oferta/504853/sap-basis-consultant,Infrastructure,SAP Basis Consultant,C-Level
Presencial,"Data Science, Git, Machine Learning, TypeScript","We are looking for a Senior IT Auditor to integrate directly the team of our client - a reference company in the industry sector. What will be your main tasks and responsibilities? Perform the IT Audit assignments based on the approval of Annual Audit Plans; Support operational process audit assignments from the data analytics perspective; Support ethics investigation cases from the data analytics perspectives; Lead Audit 4.0 Digitalization Process for further improvements. What is required from you? Academic background in Computer Engineering, Science or similar areas; Minimum 04 years of experience in IT Audit; Strong knowledge of information security, IT Governance (e.g. COBIT) and IT Service Management (e.g. ITIL); Knowledge and professional experience with digitalization, technology p...",Lisboa,17 de Outubro de 2025,QiBit Portugal,Contrato sem termo,https://www.itjobs.pt/oferta/506021/senior-it-auditor,Data Science,Senior IT Auditor,C-Level
Remoto,Rust,"Software Engineer – iOS Mobile Developer Code Maestro Wanted: iOS Developer Opening! There's no secret to become number-one, it takes willingness to improve and determination to pursue it. At GRiT®, it’s all about the journey getting there. We trust talent and intelligence are important, yet passion and perseverance are key to achieving any goal. We are Tech Passionate People with a Purpose, delivering solutions while building strong long-term relations. Recognizing each person’s unique contribution to our collective success, we embrace inclusion and diversity, committed to creating a respectful and socially responsible environment. People. Technology. Innovation. All-around it. Are you GRiTTY enough to be part of our journey? Take the first step by applying now and let’s create our future...",Lisboa,17 de Outubro de 2025,GRiT Solutions,Full-time,https://www.itjobs.pt/oferta/506017/software-engineer-ios-mobile-developer,Mobile,Software Engineer – iOS Mobile Developer,N/A
Remoto,"Machine Learning, R, TypeScript","Com mais de 8 anos de existência a nível nacional, contamos com mais de 200 colaboradores com o nosso ADN e posicionamo-nos no mercado com 3 ofertas de serviço: Strategy (Outsourcing, Team as a Service, Tech Academies); R&D (Estágios, POC, Laboratório Tecnológico); Nearshore. Na ADENTIS centramo-nos nas PESSOAS e é este o nosso salário emocional: Equilíbrio entre a vida profissional e pessoal; Flexibilidade na rotina organizacional; Benefícios de saúde para colaboradores e familiares; Eventos Team Building; Protocolo com mais de 300 parceiros; Formação contínua através de um centro profissional de formação e certificação; Acompanhamento e feedback contínuo através de um plano personalizado; Progressão de carreira através de avaliações objetivas e diretas. IMPORTANTE: Exige-se fluência em p...",Porto,17 de Outubro de 2025,Adentis,Contrato sem termo,https://www.itjobs.pt/oferta/505987/qa-automation-engineer,QA,QA Automation Engineer,N/A
Remoto,"Machine Learning, Python, Scala, TypeScript","We are looking for a Backend Developer (Python) to work Remote in Portugal who’s eager to embark on an exciting new opportunity! Apply here: <endereço ocultado> About KWAN We connect IT professionals with projects that match their skills, professional experience, and goals, then we offer a career progression program, delivered by in-house specialists - our People Experience Partners - to guide them through our journey with us. What is this challenge about: Develop and maintain high-quality backend solutions using Python and its main frameworks, ensuring scalability, security, and clean architecture. Take full ownership of the code quality, including testing and validation activities across the development lifecycle. Collaborate closely with frontend and cross-functional teams, maintaining ...",Lisboa,17 de Outubro de 2025,KWAN,Contrato sem termo,https://www.itjobs.pt/oferta/505845/backend-developer-python,QA,Backend Developer (Python),Lead
Remoto,"Git, Machine Learning, Python, TypeScript","Who are we: Neotalent Conclusion is one of the leading Iberian specialists providing services in Information Technology and Engineering services. As part of the Netherlands-based organization Conclusion, which has an ecosystem of over 25 companies and 3,600 employees, we are focused on increasing the technological capacity of our clients and the digital transformation of their application ecosystems. We are talent specialists, attracting the best people and combining them with the needs of the most ambitious projects, at the right time. Our success comes from our investments in innovation, our focus on results, and, above all, the guarantee that our people will have happy and rewarding careers. With over 25 years of solid experience, Neotalent Conclusion has established its presence in key...",Lisboa,17 de Outubro de 2025,Neotalent Conclusion,Full-time,https://www.itjobs.pt/oferta/505860/ai-lead,Data Science,AI Lead,Senior
Remoto,"Machine Learning, TypeScript","A Integer Consulting é uma empresa portuguesa de consultoria em tecnologias de informação. Somos especialistas em serviços de IT outsourcing, software, projetos de nearshore e desenvolvimento à medida. Somos parceiros dos principais players tecnológicos a nível mundial e trabalhamos com empresas nacionais e multinacionais de diversos setores de atividade. A maioria dos projetos em que participamos são em Portugal, no Brasil e um pouco por toda a Europa. O que nos diferencia é o talento tecnológico e a experiência das pessoas que fazem parte da equipa e que integram os nossos projetos. Estamos à procura de um perfil técnico especializado em Observabilidade, com experiência comprovada em Splunk, IT Service Intelligence (ITSI) e Service Tree, para reforçar a nossa equipa. O objetivo é desenha...",N/A,17 de Outubro de 2025,Integer Consulting,Full-time,https://www.itjobs.pt/oferta/505739/tecnico-de-observabilidade,Data Science,Técnico de Observabilidade,Senior
